,Date,Open,High,Low,Close,Adj Close,Volume,Hour
3300,2019-04-15 14:00:00,118.07,121.1,118.07,121.1,121.1,0,14:00:00
3301,2019-04-15 15:00:00,121.1,121.15,121.05,121.05,121.05,0,15:00:00
3302,2019-04-16 01:00:00,121.58,121.58,121.58,121.58,121.58,0,01:00:00
3303,2019-04-16 02:00:00,121.5,121.5,121.5,121.5,121.5,0,02:00:00
3304,2019-04-16 03:00:00,121.5,121.5,121.5,121.5,121.5,0,03:00:00
3305,2019-04-16 04:00:00,121.69,121.73,121.65,121.66,121.66,0,04:00:00
3306,2019-04-16 05:00:00,121.66,121.83,121.57,121.79,121.79,0,05:00:00
3307,2019-04-16 06:00:00,121.75,121.75,121.52,121.52,121.52,0,06:00:00
3308,2019-04-16 07:00:00,121.64,121.65,120.94,121.2,121.2,3430755,07:00:00
3309,2019-04-16 08:00:00,121.21,121.32,121.01,121.11,121.11,1669030,08:00:00
3310,2019-04-16 09:00:00,121.1,121.23,120.97,121.04,121.04,1456190,09:00:00
3311,2019-04-16 10:00:00,121.05,121.22,120.97,121.13,121.13,874567,10:00:00
3312,2019-04-16 11:00:00,121.13,121.17,121.01,121.07,121.07,1114858,11:00:00
3313,2019-04-16 12:00:00,121.08,121.14,120.62,120.66,120.66,1590913,12:00:00
3314,2019-04-16 13:00:00,120.65,120.8,120.1,120.79,120.79,2103756,13:00:00
3315,2019-04-16 14:00:00,120.77,121.12,120.55,120.67,120.67,0,14:00:00
3316,2019-04-16 15:00:00,120.7,120.77,120.65,120.75,120.75,0,15:00:00
3317,2019-04-16 16:00:00,120.66,120.66,120.61,120.64,120.64,0,16:00:00
3318,2019-04-16 17:00:00,120.7,120.7,120.15,120.41,120.41,0,17:00:00
3319,2019-04-17 01:00:00,121.19,121.25,121.15,121.21,121.21,0,01:00:00
3320,2019-04-17 02:00:00,121.15,121.16,120.85,120.85,120.85,0,02:00:00
3321,2019-04-17 03:00:00,120.85,121.15,120.72,120.73,120.73,0,03:00:00
